"ID","weight","weight_2","Country_code","Country_name","Age_cat","Female","Income","Higher_edu","Home_ownership","Dwelling_house","Dwelling_size","Rural","Env_concern","Env_policy_public","Env_policy_costs","Env_policy_subsidy","Env_policy_tax","Env_policy_standards","Env_policy_liH","Adoption","Gov_support","EPS"
"2da96950-4153-11ec-8589-7197a33a7db0",1.04363980200611,0.955147087778462,2,"UK","45-54",1,"quintile 3",0,0,1,"Don't know",1,0,0,0,0,0,1,1,0,0,3.45
"9z94K6FElgg3dj1tE5eyT4SABHSP4FDhjHLSFXR1bt4=",0.946236659644941,1.05778059489562,6,"CH","55+",0,"quintile 3",1,0,0,"51–75 m²",0,1,0,0,1,1,1,1,1,1,3.97
"62832260-b4cb-11ec-9c25-a9080d1318f2",1.0459911923867,1.04861678552,3,"FR","35-44",0,"quintile 2",0,1,1,"151–200 m²",1,0,0,0,0,0,0,1,1,1,4.17
"abb57320-4153-11ec-bdf0-a5272f232b02",1.05059464710629,0.983941701408885,3,"FR","25-34",1,"quintile 4",0,0,1,"76–100 m²",1,1,1,0,1,0,1,1,0,0,4.17
"ade93260-4153-11ec-a22a-6900de5e0b59",1.0473850756823,0.98518572392592,2,"UK","45-54",0,"quintile 1",0,1,1,"Don't know",0,0,0,0,0,1,1,0,0,0,3.45
"9b52ea20-4151-11ec-adad-410fb8a2e1fd",0.986121099425921,0.922870377679223,3,"FR","45-54",1,"quintile 4",0,1,1,"76–100 m²",1,1,0,0,1,0,1,0,1,0,4.17
"1d835a90-4157-11ec-9295-89b2dd385cb0",1.06511708480208,0.958258252705348,2,"UK","45-54",0,"quintile 3",0,0,1,"51–75 m²",0,0,1,0,0,0,0,0,1,1,3.45
"b15247c0-4153-11ec-b787-7333867fa433",1.12186523671893,1.04649756856644,3,"FR","45-54",0,"quintile 4",0,0,1,"76–100 m²",1,1,1,0,1,1,1,1,1,0,4.17
"1aeab890-4151-11ec-911b-f3937a422395",0.979683956100157,1.05433545950155,3,"FR","35-44",1,"quintile 3",0,1,0,"51–75 m²",0,1,1,0,1,0,1,1,0,0,4.17
"718bf7b0-4154-11ec-93b6-73bca869c1d6",0.972881450523421,0.948660111112364,3,"FR","35-44",1,"quintile 1",0,0,1,"26–50 m²",1,1,0,0,1,0,1,1,1,1,4.17
"MUwTF30CFUStXPA4Agyvb6R3dw7Ah9Qec/2h4V8m+zw=",0.920744315217147,1.69906047836644,6,"CH","18-24",1,"quintile 2",0,1,0,"51–75 m²",1,1,0,0,0,1,1,1,1,1,3.97
"BD57S4wqijs24YjvqWeQl/ddxAzBeELTjKRwmw8/c3Q=",1.04788937532461,1.01308066368522,6,"CH","18-24",0,"quintile 1",1,0,0,"51–75 m²",0,1,0,1,1,1,1,1,1,0,3.97
"f42e26e0-ba9a-11ec-bcfd-9b5b4811c0ed",1.09954409790866,1.02294591399149,2,"UK","25-34",1,"quintile 4",1,1,0,"51–75 m²",0,1,0,0,0,0,0,0,0,0,3.45
"d9d84bc0-4155-11ec-8775-ff67a4f6b5a5",1.12846823677245,1.08227426420828,3,"FR","45-54",0,"quintile 1",0,0,0,"Don't know",0,1,1,0,0,0,0,0,0,0,4.17
"eeb4ffc0-7ad4-11ec-9665-693122e29a89",1.04534052688498,1.01586906683543,2,"UK","45-54",1,"quintile 1",0,1,1,"Don't know",0,1,0,1,1,0,1,1,1,0,3.45
"61d819e0-4152-11ec-9fc1-2b9d64122aa8",1.06511708480208,0.958258252705348,2,"UK","45-54",0,"quintile 3",0,0,0,"Don't know",0,1,0,0,0,0,1,1,1,0,3.45
